X,Y,Z,Anomaly
854539.6838368422,988304.0624842106,2505.933415421579,-5.662348788301221
854440.4733105263,988512.4835368422,2533.9549806284213,-5.458832723694356
855333.3680473685,988199.8519578947,2505.933415421579,-5.139282354114664
854341.2627842106,987730.9045894737,2702.0843718694737,-6.172242316656235
854043.6312052632,988512.4835368422,2421.868719801053,-5.105753438948395
854638.8943631579,987939.3256421053,2674.062806662632,-7.2278383055878335
854440.4733105263,987783.0098526316,2618.0196762489477,-6.665472808488121
854440.4733105263,987939.3256421053,2730.105937076316,-6.808130607298626
854638.8943631579,988460.3782736842,2533.9549806284213,-5.812080505708299
854539.6838368422,988512.4835368422,2618.0196762489477,-6.576749541107924
854738.1048894738,988199.8519578947,2618.0196762489477,-7.103081586898572
854341.2627842106,987991.4309052632,2702.0843718694737,-6.821847338137028
854837.3154157895,987939.3256421053,2505.933415421579,-5.723604047745256
854936.5259421053,987939.3256421053,2533.9549806284213,-6.035550398777457
854738.1048894738,987574.5888,2561.976545835263,-5.437245049746343
855432.5785736842,988304.0624842106,2561.976545835263,-4.667776964698227
854043.6312052632,988199.8519578947,2449.890285007895,-6.02284158977966
854539.6838368422,988356.1677473685,2674.062806662632,-6.921776763591652
855234.1575210526,988251.9572210526,2505.933415421579,-5.247410671584595
853944.4206789475,987626.6940631579,2337.8040241805265,-4.206476314232794
854936.5259421053,987678.7993263159,2618.0196762489477,-5.781903615655922
854638.8943631579,988147.7466947369,2477.911850214737,-5.4574878545973045
854936.5259421053,987887.2203789474,2589.9981110421054,-6.5153235627788515
854638.8943631579,987991.4309052632,2730.105937076316,-6.902889598448779
854242.0522578948,988460.3782736842,2477.911850214737,-5.656810371883305
854341.2627842106,987626.6940631579,2702.0843718694737,-5.518562247967262
854440.4733105263,988043.536168421,2758.127502283158,-6.925350804733259
854440.4733105263,987574.5888,2646.0412414557895,-5.3408916094626955
854341.2627842106,988304.0624842106,2589.9981110421054,-6.642609268957353
854837.3154157895,988460.3782736842,2505.933415421579,-5.119855448227079
854242.0522578948,987939.3256421053,2618.0196762489477,-6.8225388072448725
854738.1048894738,988199.8519578947,2449.890285007895,-4.5874683679974035
854638.8943631579,987835.1151157895,2561.976545835263,-6.407156172552695
854837.3154157895,987991.4309052632,2730.105937076316,-6.476057788668625
853944.4206789475,988251.9572210526,2421.868719801053,-5.863363020409101
854341.2627842106,987991.4309052632,2589.9981110421054,-6.5838168743063745
854936.5259421053,988043.536168421,2646.0412414557895,-7.3225836831739635
854738.1048894738,988095.641431579,2449.890285007895,-4.818123497107509
854539.6838368422,988043.536168421,2505.933415421579,-5.817151824589488
853944.4206789475,988408.2730105263,2421.868719801053,-5.822839623168688
855134.9469947369,987783.0098526316,2589.9981110421054,-6.051372617808352
854440.4733105263,988199.8519578947,2421.868719801053,-4.477667983877268
854638.8943631579,988043.536168421,2702.0843718694737,-7.163698190306174
854539.6838368422,987783.0098526316,2393.8471545942107,-4.780654981918221
854440.4733105263,987991.4309052632,2421.868719801053,-4.9655229221153805
854539.6838368422,988251.9572210526,2561.976545835263,-6.295972884138311
854539.6838368422,987626.6940631579,2505.933415421579,-5.493490713073647
855234.1575210526,988304.0624842106,2533.9549806284213,-5.494166425915143
855134.9469947369,988251.9572210526,2674.062806662632,-6.005571466749239
854142.841731579,987678.7993263159,2561.976545835263,-5.580568588395936
855134.9469947369,987887.2203789474,2561.976545835263,-6.441528606539578
855234.1575210526,987991.4309052632,2505.933415421579,-5.5569260302823
854341.2627842106,988095.641431579,2393.8471545942107,-4.207601464673896
855234.1575210526,988304.0624842106,2561.976545835263,-5.784668208063556
854539.6838368422,987678.7993263159,2561.976545835263,-6.410256999527004
854242.0522578948,987626.6940631579,2505.933415421579,-5.486311653365714
854341.2627842106,987574.5888,2674.062806662632,-5.441916387637743
855035.7364684211,987991.4309052632,2505.933415421579,-5.630897362875408
854638.8943631579,988408.2730105263,2646.0412414557895,-7.098344989111616
854936.5259421053,988043.536168421,2505.933415421579,-5.540110295547359
854738.1048894738,988304.0624842106,2449.890285007895,-4.5579992912366905
854638.8943631579,988356.1677473685,2477.911850214737,-4.937877379722806
854341.2627842106,987574.5888,2477.911850214737,-5.126314472626199
853745.9996263159,988095.641431579,2393.8471545942107,-5.484301021417008
854440.4733105263,988304.0624842106,2646.0412414557895,-6.996967051705797
854638.8943631579,988147.7466947369,2618.0196762489477,-7.083239207231959
854242.0522578948,987626.6940631579,2618.0196762489477,-5.747282331446798
854837.3154157895,987574.5888,2561.976545835263,-5.347220815921216
854341.2627842106,988043.536168421,2421.868719801053,-5.117831436579536
854837.3154157895,988251.9572210526,2561.976545835263,-6.202063399047398
855234.1575210526,987730.9045894737,2505.933415421579,-5.3582700807088415
854837.3154157895,988147.7466947369,2646.0412414557895,-7.050037199962937
853745.9996263159,987574.5888,2281.7608937668424,-3.3622620680785325
854341.2627842106,988147.7466947369,2589.9981110421054,-6.614598275147604
853845.2101526316,987678.7993263159,2281.7608937668424,-3.601821971901066
854539.6838368422,987783.0098526316,2449.890285007895,-5.819507984953159
854936.5259421053,987835.1151157895,2561.976545835263,-6.342399147460646
854738.1048894738,987730.9045894737,2674.062806662632,-6.10066242067816
854738.1048894738,987835.1151157895,2505.933415421579,-5.8336454749082
854242.0522578948,987678.7993263159,2337.8040241805265,-4.267774453491284
854539.6838368422,987730.9045894737,2730.105937076316,-6.225430333467268
855234.1575210526,987887.2203789474,2505.933415421579,-5.663926108946782
854142.841731579,987991.4309052632,2533.9549806284213,-6.19133397544306
855234.1575210526,987678.7993263159,2533.9549806284213,-5.047664782499409
854440.4733105263,988251.9572210526,2505.933415421579,-5.830171926463454
854242.0522578948,988251.9572210526,2393.8471545942107,-4.37875795241777
854638.8943631579,988251.9572210526,2561.976545835263,-6.322110116407687
853845.2101526316,988147.7466947369,2421.868719801053,-6.035839408698703
854440.4733105263,987939.3256421053,2393.8471545942107,-4.5401629336386655
853944.4206789475,987887.2203789474,2449.890285007895,-6.299731473961216
854738.1048894738,987939.3256421053,2449.890285007895,-5.066405871984703
